epoch,loss_G,loss_D_H,loss_D_R,loss_cyc_H,loss_cyc_R,lr,epoch_time_s
1,8.21775800420182,0.17668030964228526,0.14835499009433387,2.6140375575661,2.1932799513764945,0.0002,3448.1
2,6.868162523139106,0.1284239362713348,0.05201662862426068,2.1260773270122177,1.5928697566498076,0.0002,3439.9
3,6.338814324183661,0.11220106027552257,0.03889659758204073,1.9721868831447555,1.3777174998227997,0.0002,3438.0
4,5.963390340844176,0.09577120531241387,0.05303433883906458,1.868703385402198,1.2448207027490281,0.0002,3436.5
5,5.76064914768025,0.09335967170121434,0.03861207263062605,1.7914605081744164,1.142400530982221,0.0002,3434.0
6,5.581222990760404,0.09386498520105939,0.028707864379952066,1.7174181457917401,1.0626680524678926,0.0002,3435.9
7,5.440268444857947,0.09560399436761181,0.023087965292674317,1.653895732783916,1.0042388343011845,0.0002,3437.0
8,5.319135506029818,0.09476250341852006,0.017106717136402688,1.5857712926475196,0.9649051649516671,0.0002,3434.1
9,5.190209979232645,0.09536674385000567,0.013229088994934688,1.5219168267387249,0.9250979029140063,0.0002,3432.1
10,5.0675039166806,0.09514099306868423,0.01072185744865655,1.4611976001756335,0.8918340718252,0.0002,3431.5
11,4.957728818363007,0.09451040970733643,0.008946962041688381,1.404580278844719,0.8640182444514691,0.0002,3431.1
12,4.851851267291109,0.09306471573731226,0.006389048408092701,1.3484139452675024,0.842873866674157,0.0002,3438.7
13,4.773542140223328,0.0918700677370563,0.005817369136368729,1.3065664771436345,0.8234442069967275,0.0002,3435.1
14,4.68986831918,0.0913534697789096,0.004020619758264384,1.2627076549180238,0.8073080532927628,0.0002,3438.0
15,4.611828325325761,0.08981243305271837,0.0032212098377206707,1.225483288202432,0.7920850755186944,0.0002,3446.9
16,4.531281592147623,0.08901057878178782,0.0029774062702467136,1.1874327949007657,0.7750315113361307,0.0002,3439.2
17,4.468950556586528,0.08755570515595328,0.0029677952903441555,1.152584956568183,0.7638469016424564,0.0002,3440.8
18,4.400039534376775,0.08661549352933878,0.0026385798720722302,1.1154143992245589,0.7529371476940417,0.0002,3436.1
19,4.32386229507457,0.08588011386292221,0.0024419832496370988,1.0811431998988021,0.7365414014287816,0.0002,3437.4
20,4.266765773392876,0.09574519681191195,0.0023816197040833226,1.0588449021208355,0.7266283707447293,0.0002,3436.6
21,4.2089024192376,0.08690403171509431,0.0021635077594297255,1.0237019365116702,0.7186145029385352,0.0002,3445.2
22,4.159568697255952,0.08749785185649285,0.0018044535339766833,0.9998120409577785,0.7093525179793018,0.0002,3434.3
23,4.10858831230101,0.08669614125536615,0.0018157854800889932,0.9720022580905595,0.703625439111118,0.0002,3435.9
24,4.058877679579178,0.08731920138632043,0.0016343696183077092,0.9500577256146227,0.6945345277960249,0.0002,3431.0
25,4.009296737169713,0.08805174669619836,0.0013430768382570579,0.9284532790074373,0.6845205061658083,0.0002,3432.3
